loan_amount,income,interest_rate,loan_term,dti_numeric,loan_type_2,loan_type_3,loan_type_4,loan_purpose_2,loan_purpose_31,loan_purpose_32,loan_purpose_4,loan_purpose_5,occupancy_type_2,occupancy_type_3,race,sex,age_group
-0.1518781581851275,-0.155447900106752,-0.022268962428736338,0.4010883165798516,-0.5604895459603174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Black,Female,mid
-1.2229405408895284,0.14115447228962788,2.7056494256121884,-2.9917749965082074,-0.2380593617192911,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Black,Female,mid
0.2765467948966328,-0.141652440925525,0.17258235100275826,0.4010883165798516,0.16497836858199177,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,White,Male,young
-0.04477191991468742,-0.3003002215096352,0.6597106345814948,0.4010883165798516,0.0843708225217352,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Black,Male,mid
-0.4196437538612277,-0.25201611437534077,0.6597106345814948,0.4010883165798516,-1.20534991444237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,White,Female,mid
-0.740962468672548,-0.3485843286439296,-0.21712027586023094,-2.1435591682361927,-0.2380593617192911,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Black,Female,senior
-0.36609063472600767,-0.25201611437534077,-0.022268962428736338,0.4010883165798516,0.003763276461478622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,White,Male,young
0.1158874374909727,4.9005878898129325,1.633967201738968,0.4010883165798516,-2.0114253750449356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,White,Male,young
0.3300999140318529,-0.21062973683165986,-0.8990998728704621,0.4010883165798516,0.32619346070250493,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,White,Female,mid
-0.20543127732034755,1.3482571506469876,1.7898482524841637,0.4010883165798516,-0.5604895459603174,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,White,Male,mid
