loan_amnt,annual_inc,dti,int_rate,installment,delinq_2yrs,inq_last_6mths,open_acc,pub_rec,revol_bal,revol_util,total_acc,term_60_months,grade_b,grade_c,grade_d,grade_e,grade_f,grade_g,home_ownership_mortgage,home_ownership_own,home_ownership_rent,verification_status_source_verified,verification_status_verified,purpose_credit_card,purpose_debt_consolidation,purpose_home_improvement,purpose_house,purpose_major_purchase,purpose_medical,purpose_moving,purpose_other,purpose_renewable_energy,purpose_small_business,purpose_vacation,purpose_wedding,gender_male,income_level_low,income_level_medium,loan_amount_level_medium,loan_amount_level_small,loan_default,data_split
0.0228813755058291,-0.1390341900903208,0.3524132017479734,-1.3303103501919795,0.0851731627079742,-0.3541894869846647,0.4888949163375746,-0.7880909166023902,1.4162470485084402,-0.0881724122457797,0.421839344269222,-0.5015853957531755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0,train
0.5583003336414666,0.4500267035734388,-0.7209564109571431,0.4549293339060685,0.1422015808568416,0.9164454439020248,0.4888949163375746,-0.263474182177722,-0.3358111558318982,-0.4638595159294617,-0.6557233996632461,-0.0074125920554656,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0,train
-0.9224677224524058,-0.8351970644202186,0.8220124073064619,-0.618231696534792,-0.8740987763569307,-0.3541894869846647,-0.6513847719133283,-0.7880909166023902,-0.3358111558318982,1.4047780966369037,0.7394791083388678,-0.913396065501267,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0,train
-0.0830869599585157,-0.8443275082720069,0.7095986978677505,0.0555197774637932,-0.4443048736322892,-0.3541894869846647,-0.6513847719133283,0.6108870418633914,-0.3358111558318982,0.1337264158835641,-0.7602630688507245,-0.3368611278539388,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0,train
1.6960656196796964,0.664230664905715,0.007919576048696,-0.0735823013862351,0.9266505921234952,2.187080374788714,-0.6513847719133283,-0.0886019373694993,-0.3358111558318982,0.3869181151262662,0.1484279017788944,-0.6663096636524121,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,train
1.1383375382884071,0.3905851043037321,-0.4254171425940789,2.478200975883856,1.1614304244079885,0.9164454439020248,1.6291746045884776,0.9606315314798368,-0.3358111558318982,-0.3304871411152869,-1.467916214119808,0.1573116758437709,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,train
-1.03680197913762,-0.808421569253684,-0.463492753855578,-0.4326474581878763,-0.9923556785859,-0.3541894869846647,-0.6513847719133283,-0.263474182177722,-0.3358111558318982,-0.5030943019184859,-1.319148223353012,-1.0781203334005036,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0,train
0.8985144632901529,-0.5674421127548733,0.4095266186402219,0.6929612917858078,0.4788619115099878,0.9164454439020248,-0.6513847719133283,1.3103760210962825,-0.3358111558318982,-0.0785903192979652,0.8641225600623993,0.8162087474407175,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0,train
-0.3786828430958989,-1.6920129097493235,4.310463648598091,-0.2147877001284535,-0.7083695692905255,-0.3541894869846647,-0.6513847719133283,-1.3127076510270583,-0.3358111558318982,-0.7132960706385608,-1.6649332829731325,-1.6546552710478315,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0,train
-0.3117554733289442,-0.8887480547532877,-0.2205340915202982,-0.3156486992300381,-0.1607040914865691,-0.3541894869846647,-0.6513847719133283,-0.4383464269859448,-0.3358111558318982,-0.2783467434533053,0.1283241192428408,-0.8310339315516487,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0,train
