activity_year,lei,derived_msa-md,state_code,county_code,census_tract,conforming_loan_limit,derived_loan_product_type,derived_dwelling_category,derived_ethnicity,derived_race,derived_sex,action_taken,purchaser_type,preapproval,loan_type,loan_purpose,lien_status,reverse_mortgage,open-end_line_of_credit,business_or_commercial_purpose,loan_amount,loan_to_value_ratio,interest_rate,rate_spread,hoepa_status,total_loan_costs,total_points_and_fees,origination_charges,discount_points,lender_credits,loan_term,prepayment_penalty_term,intro_rate_period,negative_amortization,interest_only_payment,balloon_payment,other_nonamortizing_features,property_value,construction_method,occupancy_type,manufactured_home_secured_property_type,manufactured_home_land_property_interest,total_units,multifamily_affordable_units,income,debt_to_income_ratio,applicant_credit_score_type,co-applicant_credit_score_type,applicant_ethnicity-1,applicant_ethnicity-2,applicant_ethnicity-3,applicant_ethnicity-4,applicant_ethnicity-5,co-applicant_ethnicity-1,co-applicant_ethnicity-2,co-applicant_ethnicity-3,co-applicant_ethnicity-4,co-applicant_ethnicity-5,applicant_ethnicity_observed,co-applicant_ethnicity_observed,applicant_race-1,applicant_race-2,applicant_race-3,applicant_race-4,applicant_race-5,co-applicant_race-1,co-applicant_race-2,co-applicant_race-3,co-applicant_race-4,co-applicant_race-5,applicant_race_observed,co-applicant_race_observed,applicant_sex,co-applicant_sex,applicant_sex_observed,co-applicant_sex_observed,applicant_age,co-applicant_age,applicant_age_above_62,co-applicant_age_above_62,submission_of_application,initially_payable_to_institution,aus-1,aus-2,aus-3,aus-4,aus-5,denial_reason-1,denial_reason-2,denial_reason-3,denial_reason-4,tract_population,tract_minority_population_percent,ffiec_msa_md_median_family_income,tract_to_msa_income_percentage,tract_owner_occupied_units,tract_one_to_four_family_homes,tract_median_age_of_housing_units
2022,549300XQVJ1XBNFA5536,99999,GA,13283.0,,C,Conventional:First Lien,Single Family (1-4 Units):Manufactured,Not Hispanic or Latino,Black or African American,Female,3,0,2,1,1,1,2,2,2,145000.0,,,,3,,,,,,276,,,2,2,2,2,155000,2,1,1,1,1,,42.0,>60%,1,10,2.0,,,,,5.0,,,,,2,4,3.0,,,,,8.0,,,,,2,4,2,5,2,4,25-34,9999,No,,1,1,6,,,,,3,1.0,,,0,0.0,64100,0.0,0,0,0
2022,54930025XJJO3T0M1A92,12060,GA,13297.0,13297110701.0,C,Conventional:Subordinate Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Male,3,0,2,1,4,2,2,2,2,205000.0,88.824,,,3,,,,,,120,,,2,2,2,2,705000,1,1,3,5,1,,178.0,49,8,10,2.0,,,,,5.0,,,,,2,4,5.0,,,,,8.0,,,,,2,4,1,5,2,4,35-44,9999,No,,1,1,6,,,,,9,,,,3610,25.26,95700,69.94,574,1039,24
2022,JJKC32MCHWDI71265Z06,12060,GA,13135.0,13135050322.0,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Joint,1,0,2,1,4,1,2,1,2,105000.0,24.39,5.3,-1.99,2,,,,,,360,,1,2,1,1,2,415000,1,1,3,5,1,,74.0,39,1,9,2.0,,,,,2.0,,,,,1,1,5.0,,,,,5.0,,,,,1,1,2,1,1,1,45-54,55-64,No,No,1,1,6,,,,,10,,,,4614,21.48,95700,193.92,1399,1533,0
2022,549300E2UX99HKDBR481,42340,GA,13051.0,13051004001.0,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Female,1,1,2,1,1,1,2,2,2,295000.0,90.0,4.625,0.402,2,5174.78,,2818.13,1828.13,,360,,,2,2,2,2,325000,1,1,3,5,1,,76.0,41,1,10,2.0,,,,,5.0,,,,,2,4,5.0,,,,,8.0,,,,,2,4,2,5,2,4,35-44,9999,No,,1,1,1,,,,,10,,,,4218,33.78,83400,87.5,1015,1525,52
2022,549300AG64NHILB7ZP05,16860,GA,13295.0,13295020601.0,C,VA:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Joint,1,2,2,3,32,1,2,2,2,245000.0,85.722,5.5,0.973,2,17416.38,,6984.04,6984.04,52.5,360,,,2,2,2,2,285000,1,1,3,5,1,,63.0,49,1,9,3.0,,,,,3.0,,,,,2,2,6.0,,,,,6.0,,,,,2,2,1,2,2,2,55-64,55-64,Yes,No,1,1,2,,,,,10,,,,7186,10.63,75200,101.13,1752,2406,29
2022,549300SUCQ1358EGVE89,10500,GA,13095.0,13095001100.0,C,VA:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Black or African American,Joint,3,0,2,3,32,1,2,2,2,95000.0,80.0,,,3,,,,,,360,,,2,2,2,2,115000,1,1,3,5,1,,61.0,30%-<36%,3,9,2.0,,,,,2.0,,,,,2,2,3.0,,,,,3.0,,,,,2,2,1,2,2,2,55-64,55-64,Yes,No,1,1,6,,,,,3,,,,5606,96.45,57500,0.0,953,2461,49
2022,5493003GQDUH26DNNH17,12060,GA,13135.0,13135050571.0,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Black or African American,Joint,3,0,2,1,1,1,2,2,2,375000.0,95.0,,,3,,,,,,360,,,2,2,2,2,395000,1,1,3,5,1,,125.0,38,3,1,2.0,,,,,2.0,,,,,2,2,3.0,,,,,3.0,,,,,2,2,2,1,2,2,25-34,25-34,No,No,1,1,1,,,,,7,,,,5931,81.42,95700,67.54,2052,2253,22
2022,549300LBCBNR1OT00651,12060,GA,13121.0,13121011661.0,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Female,1,1,2,1,32,1,2,2,2,525000.0,70.0,4.99,0.239,2,24023.69,,22074.5,20779.5,,360,,,2,2,2,2,755000,1,1,3,5,1,,346.0,<20%,3,10,2.0,,,,,5.0,,,,,2,4,5.0,,,,,8.0,,,,,2,4,2,5,2,4,45-54,9999,No,,1,1,1,,,,,10,,,,2187,24.14,95700,214.53,553,677,27
2022,549300L1DBFIJZI8LA40,12060,GA,13159.0,13159010200.0,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Joint,1,9,2,1,1,1,2,2,2,295000.0,57.282,6.875,-0.112,2,7570.0,,4882.5,3097.5,,360,,,2,2,2,2,515000,1,1,3,5,1,,70.0,43,9,1,2.0,,,,,2.0,,,,,2,2,5.0,,,,,5.0,,,,,2,2,1,2,2,2,55-64,55-64,No,No,1,1,1,,,,,10,,,,3195,16.24,95700,76.54,885,1357,32
2022,549300HW662MN1WU8550,12060,GA,13121.0,13121011612.0,NC,VA:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Male,1,2,2,3,32,1,2,2,2,735000.0,100.0,3.999,-0.987,2,34928.38,,31114.68,24199.58,115.0,360,,,2,2,2,2,735000,1,1,3,5,1,,204.0,41,3,10,3.0,,,,,5.0,,,,,2,4,6.0,,,,,8.0,,,,,2,4,1,5,2,4,45-54,9999,No,,2,1,1,,,,,10,,,,3462,38.33,95700,190.72,1238,1284,29
2022,JJKC32MCHWDI71265Z06,12060,GA,13067.0,13067030265.0,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Hispanic or Latino,White,Male,1,1,2,1,32,1,2,2,2,445000.0,63.969,3.2,0.751,2,2975.47,,1391.18,406.18,45.06,240,,,2,2,2,2,765000,1,1,3,5,1,,462.0,20%-<30%,1,10,1.0,13.0,,,,5.0,,,,,2,4,5.0,,,,,8.0,,,,,2,4,1,5,2,4,55-64,9999,Yes,,1,1,1,,,,,10,,,,3430,32.13,95700,195.92,1207,1227,19
2022,549300JGK6WNKYXQ0821,12020,GA,13195.0,13195020400.0,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Female,3,0,2,1,1,1,2,2,2,55000.0,80.0,,,3,,,,,,360,,,2,2,2,2,65000,1,1,3,5,1,,52.0,<20%,2,10,2.0,,,,,5.0,,,,,2,4,5.0,,,,,8.0,,,,,2,4,2,5,2,4,45-54,9999,No,,1,1,1,,,,,3,,,,6240,29.68,82300,96.5,1662,2170,31
2022,549300QR0KFPEDZPEI42,99999,GA,13023.0,13023790301.0,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Male,1,3,2,1,1,1,2,2,2,155000.0,95.0,5.25,1.052,2,4649.19,,2505.24,896.24,0.28,360,,,2,2,2,2,155000,1,1,3,5,1,,58.0,44,1,10,2.0,,,,,5.0,,,,,2,4,5.0,,,,,8.0,,,,,2,4,1,5,2,4,35-44,9999,No,,1,1,2,,,,,10,,,,2491,37.25,64100,77.21,550,756,47
2022,IUGPUX5LWRZ3B6KIZ697,12060,GA,13067.0,13067030257.0,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Hispanic or Latino,White,Female,1,1,2,1,1,1,2,2,2,375000.0,78.5,6.125,0.747,2,10146.33,,6910.98,8615.98,,360,,,2,2,2,2,475000,1,1,3,5,1,,83.0,42,3,10,1.0,,,,,5.0,,,,,2,4,5.0,,,,,8.0,,,,,2,4,2,5,2,4,35-44,9999,No,,1,1,1,,,,,10,,,,4286,57.65,95700,94.02,795,1146,18
2022,IUGPUX5LWRZ3B6KIZ697,99999,GA,13157.0,13157010601.0,NC,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Male,1,0,2,1,1,1,2,2,2,755000.0,60.0,3.5,-0.008,2,14766.0,,8795.0,7500.0,,372,,,2,1,2,2,1255000,1,1,3,5,1,,198.0,44,2,10,2.0,,,,,5.0,,,,,2,4,5.0,,,,,8.0,,,,,2,4,1,5,2,4,45-54,9999,No,,1,1,1,,,,,10,,,,5085,25.33,64100,138.82,1270,1616,22
2022,T68X8LLAQYRNDV034K14,12060,GA,13057.0,13057090101.0,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Male,1,3,2,1,32,1,2,2,2,155000.0,49.677,4.0,0.512,2,3526.43,,1534.0,385.0,,360,,,2,2,2,2,315000,1,1,3,5,1,,54.0,43,2,10,2.0,,,,,5.0,,,,,2,4,5.0,,,,,8.0,,,,,2,4,1,5,2,4,35-44,9999,No,,1,1,2,,,,,10,,,,4224,10.54,95700,108.88,1456,1726,25
