age_group,n,selection_rate,small_subgroup,disparate_impact_vs_best
young,2304,0.8372395833333334,False,1.0
mid,5507,0.7995278736153986,False,0.9549570869931976
senior,3167,0.7432901799810546,False,0.8877867157472005
